file,instrument,bpm,noise_level,tone_freq,body,decay,brightness,style,rms,max,min,mean
hat\hat_loop_00374.wav,hat,174,0.49925567004890453,7773.710100302562,0.09804220378938072,0.01979776308879946,0.8121334410794371,default,0.12088944017887115,0.935987114906311,-1.0,9.691306104286923e-07
hat\hat_loop_00375.wav,hat,174,0.5571292241815619,8848.106967690926,0.12479311331889101,0.020099218400322,0.6148071798188832,jumpup,0.12420696020126343,1.0,-0.8934228420257568,-4.138956910537672e-08
hat\hat_loop_00376.wav,hat,174,0.6415574592800799,7245.7382965437,0.1733661702355149,0.031160438120494457,0.24617128275853037,neuro,0.1459197998046875,0.9839268922805786,-1.0,-1.107046045945026e-06
hat\hat_loop_00377.wav,hat,174,0.6297271026061951,7304.921440104512,0.1829045266238133,0.030965745946024588,0.2589378381946677,neuro,0.1527680903673172,1.0,-0.9995114803314209,-2.113754362653708e-06
hat\hat_loop_00378.wav,hat,174,0.6891811241761161,7162.7690469748,0.20347466893504784,0.020339771713458778,0.1971254307802422,default,0.12896054983139038,1.0,-0.9965915679931641,-1.3318713172338903e-06
hat\hat_loop_00379.wav,hat,174,0.6172724767738397,9389.552410545404,0.15120229477280225,0.07601035798582026,0.4575287940033503,jungle,0.16034501791000366,0.9354300498962402,-1.0,7.956943477438472e-07
hat\hat_loop_00380.wav,hat,174,0.5853182381420493,8614.040052822907,0.14472047642186525,0.07976746105036647,0.46737681069116793,jungle,0.16739283502101898,1.0,-0.9605993628501892,3.934061396648758e-07
hat\hat_loop_00381.wav,hat,174,0.6259180420718008,7626.866588688481,0.17997105539889358,0.03061704488782907,0.24437983894496507,neuro,0.13505946099758148,0.9675585031509399,-1.0,4.125777650187956e-06
hat\hat_loop_00382.wav,hat,174,0.6034376327838417,9766.385692440475,0.15715318357426838,0.09625505495541258,0.5153798744603434,default,0.17986300587654114,0.9965158700942993,-1.0,-4.344229637354147e-06
hat\hat_loop_00383.wav,hat,174,0.7092755108451648,7107.349716372208,0.195254131707039,0.01946883228173056,0.20192423079130797,default,0.12104357033967972,1.0,-0.8777559995651245,-5.421994728749269e-07
hat\hat_loop_00384.wav,hat,174,0.5276068000133334,8084.52293447456,0.12225834586192576,0.020969847863201517,0.6117957915954544,jumpup,0.13331562280654907,0.9615380167961121,-1.0,-1.0533502745602163e-06
hat\hat_loop_00385.wav,hat,174,0.580667932814441,9951.864394044575,0.15165679043994285,0.09679385957512168,0.4788656190581329,default,0.19018562138080597,0.9833822846412659,-1.0,4.279947916074889e-07
