file,instrument,bpm,freq,amp,decay,drive,sub_oct,filter_cut,osc_type,style,rms,max,min,mean
bass\bass_loop_00615.wav,bass,174,50.064441393863376,0.9204241749885886,0.6457589261444312,0.8120219829685087,1.0350882738640692,146.7742960193945,saw,techstep,0.5344105958938599,1.0,-0.9979453086853027,0.0007107658311724663
bass\bass_loop_00616.wav,bass,174,44.416386315083095,0.8418993687559662,0.6913407015493459,0.4153145808536485,1.0035798685594062,97.53803938117265,sine,liquid,0.5177015066146851,1.0,-0.9966083765029907,0.002530458150431514
bass\bass_loop_00617.wav,bass,174,50.385470204956796,0.9263335375956927,0.7239817778276335,0.6658168686273866,1.0068724623383698,123.15043008408993,sine,default,0.4728829562664032,0.9989339113235474,-1.0,0.001380352070555091
bass\bass_loop_00618.wav,bass,174,52.20825583388899,0.9064351799570671,0.6521871479251128,0.8066020570469896,0.9521891118877895,143.57518518719536,saw,techstep,0.5200329422950745,0.9980055689811707,-1.0,-0.0013962903758510947
bass\bass_loop_00619.wav,bass,174,57.32870220053069,0.8843642825456093,0.6125183105808845,0.2861533761868214,1.0163349612791248,197.66314073822176,saw,default,0.5656951069831848,0.9968777894973755,-1.0,0.0007166120922192931
bass\bass_loop_00620.wav,bass,174,41.768209654190855,0.8539393790778484,0.793701317177291,0.0,0.0,144.20660276381847,sine,default,0.47290465235710144,0.9966750741004944,-1.0,0.00368376518599689
bass\bass_loop_00621.wav,bass,174,47.96480113267395,0.9552589185039195,0.6976552127234803,0.673463014854656,0.9687643765017444,116.77697589791053,sine,default,0.4968739151954651,0.9982771873474121,-1.0,0.0007037521572783589
bass\bass_loop_00622.wav,bass,174,54.28417428766693,0.8572498567091447,0.6099707516901335,0.30593841996135973,0.9714981049422404,191.8453803034286,saw,default,0.5201787948608398,0.9967723488807678,-1.0,0.0012010185746476054
bass\bass_loop_00623.wav,bass,174,61.638132773803825,0.8994095488574984,0.5119511105221146,0.6189038395247259,1.0236037730325114,172.82681079775315,saw,jumpup,0.5372023582458496,1.0,-0.996571958065033,-0.0005121210706420243
bass\bass_loop_00624.wav,bass,174,57.58433639740089,0.9251659457214689,0.5783472285505031,0.2898252019926657,1.0268561080893859,194.95914895380335,saw,default,0.5593137145042419,0.9974378943443298,-1.0,-0.00023288097872864455
bass\bass_loop_00625.wav,bass,174,58.89512488372316,0.89655029600319,0.5230035641318611,0.6232246712453484,0.9589545612317205,179.4384084790661,saw,jumpup,0.5095134973526001,1.0,-0.9965177774429321,0.00024323089746758342
bass\bass_loop_00626.wav,bass,174,53.72181534884816,0.8963560754904488,0.5774742604990585,0.30970950903042394,1.0065530806845333,197.88001136984178,saw,default,0.5056812763214111,0.9963647723197937,-1.0,-0.0002494798391126096
bass\bass_loop_00627.wav,bass,174,40.49890860221557,0.8643180759028245,0.7906408256347629,0.0,0.0,143.21457625334176,sine,default,0.522988498210907,0.9965211153030396,-1.0,-0.00039109945646487176
bass\bass_loop_00628.wav,bass,174,54.847679087427785,0.9283463645771994,0.6121316157069882,0.2916095432373306,0.9634784276221545,199.76430917587055,saw,default,0.5315272212028503,0.9976269602775574,-1.0,-0.0007361226016655564
bass\bass_loop_00629.wav,bass,174,55.55179843813088,0.8661279922802675,0.6206843516670162,0.2930240594004664,1.0250265188034704,202.56178666827375,saw,default,0.5718986988067627,1.0,-0.9990912079811096,-0.0012363692512735724
bass\bass_loop_00630.wav,bass,174,43.79964638330825,0.8081859527987669,0.6897903228856574,0.3982169978322953,0.9508481730324518,100.09431169063251,sine,liquid,0.5412103533744812,1.0,-0.9987853169441223,-0.0009838498663157225
bass\bass_loop_00631.wav,bass,174,50.65419463692971,0.9288844496288865,0.7023256606955555,0.6881667128117321,0.9976157258527834,117.54552319503676,sine,default,0.49995186924934387,1.0,-0.9999730587005615,0.00041012564906850457
bass\bass_loop_00632.wav,bass,174,60.02646734238283,0.9210691629027482,0.4901439547950037,0.6223801092860607,1.028677199027814,186.88697981661275,saw,jumpup,0.5094738006591797,0.996070384979248,-1.0,0.0006082864128984511
bass\bass_loop_00633.wav,bass,174,47.591483070861386,0.8770723453169654,0.6726422820229155,0.7731248324581425,1.010318527503185,156.9983080018825,saw,techstep,0.4747011363506317,0.996415913105011,-1.0,0.0016370991943404078
